state,model,n,mean_obs,mean_pred,bias,mae,rmse,mape
brine_avg,"Modified Maxwell (Eucken, 1940)",33,2.691356060606061,2.6583087054940604,-0.03304735511200028,0.09754680849196957,0.11715030815278321,3.5850598562980696
brine_avg,Zimmerman (1989; spherical pores),33,2.691356060606061,2.6583087054940604,-0.03304735511200032,0.09754680849196967,0.11715030815278334,3.585059856298073
brine_avg,Roy-Adler,33,2.691356060606061,2.6511242354030538,-0.040231825203006735,0.09988947342236607,0.11897926196787198,3.6656587702161105
brine_avg,Mendel (1997),33,2.691356060606061,2.643411994189154,-0.04794406641690654,0.10352039400518374,0.12115932259619272,3.799019487078405
brine_avg,Zimmerman (1989; needle-like pores),33,2.691356060606061,2.64260959381743,-0.04874646678863091,0.10404917111288588,0.12234026700331528,3.814026648649174
brine_avg,Lichtenecker (geometric mean),33,2.691356060606061,2.531585503450174,-0.15977055715588634,0.17156879627847169,0.1998423956427259,6.333447873805173
brine_avg,Zimmerman (1989; thin cracks),33,2.691356060606061,2.4880332724773857,-0.2033227881286752,0.205253913230444,0.238758633353728,7.601313630906454
brine_avg,Ribaud (1937),33,2.691356060606061,2.4688704670543027,-0.22248559355175812,0.22248559355175812,0.2517348094618899,8.15020136803258
brine_avg,Sidorov (1979),33,2.691356060606061,2.1519014542072816,-0.5394546063987794,0.5394546063987794,0.5697633379965947,20.25678133921051
brine_avg,Krupiczka,33,2.691356060606061,3.3047356271704955,0.6133795665644348,0.7281946944332234,1.298202438476819,26.116611907703582
dry,Ribaud (1937),33,2.166055681818182,2.345383289977086,0.17932760815890395,0.17971607691985308,0.2215295154615256,9.564863595744756
dry,Roy-Adler,33,2.166055681818182,2.450988810655682,0.2849331288375003,0.2849331288375003,0.30259119731576056,14.254670352213006
dry,Lichtenecker (geometric mean),33,2.166055681818182,1.8654739641864657,-0.3005817176317161,0.30774439020821526,0.33311796393557097,15.070951930609697
dry,Zimmerman (1989; needle-like pores),33,2.166055681818182,2.5113054181021925,0.34524973628401073,0.34524973628401073,0.3672702326516811,17.373163344839988
dry,Mendel (1997),33,2.166055681818182,2.521943712569794,0.35588803075161207,0.35588803075161207,0.37424925286108857,17.76723634062446
dry,Zimmerman (1989; spherical pores),33,2.166055681818182,2.5490305909235738,0.38297490910539184,0.38297490910539184,0.40653345159215754,19.271855542159482
dry,"Modified Maxwell (Eucken, 1940)",33,2.166055681818182,2.5490305909235738,0.38297490910539184,0.38297490910539184,0.4065334515921576,19.271855542159486
dry,Zimmerman (1989; thin cracks),33,2.166055681818182,0.6569796263261528,-1.509076055492029,1.509076055492029,1.5238019824343514,70.87925642737954
dry,Sidorov (1979),33,2.166055681818182,0.2918189991569518,-1.8742366826612302,1.8742366826612302,1.8879785740358235,87.19093469751428
dry,Krupiczka,33,2.166055681818182,4.287406747269941,2.1213510654517598,2.71320627552359,7.692362432850112,108.89210676172497
oil,Roy-Adler,33,2.4118695067331823,2.5155904156710047,0.10372090893782217,0.10939076684474246,0.12967537349280192,4.856376450989048
oil,Zimmerman (1989; needle-like pores),33,2.4118695067331823,2.537863525460287,0.12599401872710445,0.12940445974265816,0.15230573484330273,5.779051972536829
oil,"Modified Maxwell (Eucken, 1940)",33,2.4118695067331823,2.5702587164990494,0.1583892097658672,0.15944189366358896,0.18345195970927924,7.109968933901364
oil,Zimmerman (1989; spherical pores),33,2.4118695067331823,2.57025871649905,0.1583892097658673,0.159441893663589,0.1834519597092793,7.109968933901365
oil,Lichtenecker (geometric mean),33,2.4118695067331823,2.179375661635322,-0.23249384509786067,0.23303394644900957,0.2575800879418027,10.026783253057186
oil,Zimmerman (1989; thin cracks),33,2.4118695067331823,1.6620231201352322,-0.7498463865979502,0.7498463865979502,0.7728749056886179,31.928740089008485
oil,Krupiczka,33,2.4118695067331823,3.6659106995176187,1.2540411927844362,1.5650314086082078,3.493909651933669,59.26374378042321
