state,alpha_mc,lambda_star
dry,0.0001,2.4176780343152724
oil,0.0001,2.5333779297022767
brine,0.0001,2.885064930863747
dry,0.00010797751623277094,2.418272634386713
oil,0.00010797751623277094,2.5340224639993294
brine,0.00010797751623277094,2.8858694303622316
dry,0.00011659144011798323,2.418912085543731
oil,0.00011659144011798323,2.5347156280995464
brine,0.00011659144011798323,2.8867346726483327
dry,0.00012589254117941674,2.419599556061748
oil,0.00012589254117941674,2.5354608591556818
brine,0.00012589254117941674,2.8876649580349603
dry,0.00013593563908785255,2.4203384036656255
oil,0.00013593563908785255,2.536261800165822
brine,0.00013593563908785255,2.8886648455193153
dry,0.0001467799267622069,2.4211321812813096
oil,0.0001467799267622069,2.537122306280178
brine,0.0001467799267622069,2.8897391609151946
dry,0.00015848931924611142,2.421984641964485
oil,0.00015848931924611142,2.5380464502247615
brine,0.00015848931924611142,2.89089300391555
dry,0.0001711328304161781,2.4228997427898595
oil,0.0001711328304161781,2.539038526608161
brine,0.0001711328304161781,2.8921317537963125
dry,0.00018478497974222906,2.4238816474564766
oil,0.00018478497974222906,2.5401030548470183
brine,0.00018478497974222906,2.893461073434158
dry,0.00019952623149688788,2.4249347273339104
oil,0.00019952623149688788,2.541244780412633
brine,0.00019952623149688788,2.8948869112693476
dry,0.00021544346900318845,2.426063560642896
oil,0.00021544346900318845,2.5424686740671087
brine,0.00021544346900318845,2.8964155008019543
dry,0.00023263050671536262,2.427272929432468
oil,0.00023263050671536262,2.5437799287231853
brine,0.00023263050671536262,2.8980533571665505
dry,0.00025118864315095795,2.428567813984161
oil,0.00025118864315095795,2.545183953527536
brine,0.00025118864315095795,2.8998072702868036
dry,0.000271227257933203,2.4299533842437224
oil,0.000271227257933203,2.5466863647344113
brine,0.000271227257933203,2.901684294069434
dry,0.00029286445646252375,2.431434987854642
oil,0.00029286445646252375,2.548292972907809
brine,0.00029286445646252375,2.9036917310599093
dry,0.00031622776601683794,2.4330181343440143
oil,0.00031622776601683794,2.550009765964131
brine,0.00031622776601683794,2.905837111947932
dry,0.0003414548873833601,2.4347084749964076
oil,0.0003414548873833601,2.551842887550647
brine,0.0003414548873833601,2.908128169288045
dry,0.00036869450645195733,2.4365117779434238
oil,0.00036869450645195733,2.5537986102457415
brine,0.00036869450645195733,2.910572804786639
dry,0.00039810717055349735,2.438433898000915
oil,0.00039810717055349735,2.555883303070797
brine,0.00039810717055349735,2.9131790495086074
dry,0.0004298662347082277,2.4404807408048774
oil,0.0004298662347082277,2.558103392823278
brine,0.0004298662347082277,2.9159550163782475
dry,0.00046415888336127773,2.4426582208323153
oil,0.00046415888336127773,2.560465318777781
brine,0.00046415888336127773,2.918908844391605
dry,0.0005011872336272725,2.4449722129512352
oil,0.0005011872336272725,2.5629754803633804
brine,0.0005011872336272725,2.9220486340301455
dry,0.0005411695265464637,2.4474284972245326
oil,0.0005411695265464637,2.5656401775117064
brine,0.0005411695265464637,2.9253823734685125
dry,0.0005843414133735175,2.4500326968013906
oil,0.0005843414133735175,2.5684655434868717
brine,0.0005843414133735175,2.9289178553099773
dry,0.000630957344480193,2.452790208868631
oil,0.000630957344480193,2.5714574701575006
brine,0.000630957344480193,2.932662583764425
dry,0.0006812920690579615,2.455706128804914
oil,0.0006812920690579615,2.5746215258546
brine,0.0006812920690579615,2.9366236724079866
dry,0.0007356422544596414,2.4587851678848223
oil,0.0007356422544596414,2.577962866179135
brine,0.0007356422544596414,2.9408077329339117
dry,0.0007943282347242813,2.462031565116008
oil,0.0007943282347242813,2.5814861383782186
brine,0.0007943282347242813,2.9452207556191023
dry,0.0008576958985908946,2.4654489940591766
oil,0.0008576958985908946,2.5851953801972587
brine,0.0008576958985908946,2.9498679825885175
dry,0.0009261187281287938,2.4690404657724394
oil,0.0009261187281287938,2.5890939144315532
brine,0.0009261187281287938,2.9547537753537436
dry,0.001,2.472808229331785
oil,0.001,2.5931842407376755
brine,0.001,2.9598814785241867
