state,parameter,S
dry,phi_total,-0.5615316239421791
dry,matrix_tc,0.876510532734036
dry,fluid_tc,0.012433307360528879
dry,alpha_pore,0.21969019376322937
dry,phi_mc,-0.1083860741756635
oil,phi_total,-0.5233036458018938
oil,matrix_tc,0.8333100520297594
oil,fluid_tc,0.051851268344140077
oil,alpha_pore,0.1625712830118204
oil,phi_mc,-0.11292189983859882
brine,phi_total,-0.4130635669399818
brine,matrix_tc,0.7572815988423722
brine,fluid_tc,0.11701535575956479
brine,alpha_pore,0.05292413555562843
brine,phi_mc,-0.12599368518329798
